1	7465,5991902834	1775,27530364372	928,001286877028	741	
2	26562,0558659218	4033,87150837989	965,350791726856	358	
3	45328,038647343	5541,17632850242	1302,41369768701	414	
4	62303,7820512821	6945,4	1237,98582652092	390	
5	80290,1038062284	8032,18685121107	1303,91642416652	289	
6	99218,6513409962	8660,41379310345	1608,35840169892	261	
7	116356,651006711	9540,51006711409	2010,12846635257	149	
8	134445,579710145	10771,1304347826	1935,6795527186	69	
9	153442,131147541	11330,5901639344	2439,29480119078	61	
10	170415,825	11898	2168,48701863765	40	
11	188170,25	12371,4	2090,90383327403	40	
12	206948,045454545	13685,6363636364	2121,18885073816	22	
13	225483,444444444	13576,2222222222	2342,04634064495	9	
14	240867,857142857	14629,4285714286	2809,10834135485	7	
15	259587,714285714	14459,7142857143	2188,05449881759	7	
16	280417,428571429	15475,5714285714	5877,26597898675	7	
17	300966,6	16110,4	5221,85869590513	5	
18	314346,8	16819,4	1937,37137379489	5	
19	329731,166666667	19156,5	3448,54127373687	6	
20	355995,571428571	16221,4285714286	1495,1644780179	7	
21	363660,5	17906	1643	2	
22	390513,5	17510,5	5859,5	2	
23	0	0	0	0	
24	0	0	0	0	
25	0	0	0	0	
26	0	0	0	0	
27	0	0	0	0	
28	0	0	0	0	
29	0	0	0	0	
30	525445	16622	0	1	
31	0	0	0	0	
32	0	0	0	0	
33	0	0	0	0	
34	0	0	0	0	
35	0	0	0	0	
36	0	0	0	0	
37	0	0	0	0	
38	0	0	0	0	
39	0	0	0	0	
40	0	0	0	0	
41	0	0	0	0	
42	0	0	0	0	
43	0	0	0	0	
44	0	0	0	0	
45	0	0	0	0	
46	0	0	0	0	
47	0	0	0	0	
48	0	0	0	0	
49	0	0	0	0	
50	900782	29039	0	1	


